Genes,LB-Log2FC,LB-Padj,M_Log2FC,S_Log2FC,GB_log2FC,H-Control-1 Counts,H-Control-2 Counts,H-Control-3 Counts,H-Lung_Brain-1 Counts,H-Lung_Brain-2 Counts,H-Lung_Brain-3 Counts,H-Lung_Brain-4 Counts,H-Lung_Brain-5 Counts,H1,H2,H3,H4,M1,M2,M3,M4,S-SHAM-1,S-SHAM-2,S-SHAM-3,STROKE-1,STROKE-2,STROKE-3,GB-SHAM-1,GB-SHAM-2,GB-SHAM-3,GB-1,GB-2,GB-3,rMSG,M_Control_Exp,Meningitis_Exp,M_UP,M_DOWN,S_Control_Exp,Stroke_Exp,S_UP,S_DOWN,GB_Control_Exp,Glioblastoma_Exp,GB_UP,GB_DOWN,Control-H.Brain,H-Lung-Brain,H-LB-Regulated,HLB-UP,HLB-DOWN,MusGeneID,Homo_ID
Tfe3,0.766072021,0.751599372,0.909428376,0.34869781,0.618059188,596.7509252,446.671847,66.46919252,637.256006,682.1859144,602.2202395,480.4971207,744.2832374,707.2826734,917.1671241,687.0927356,825.6148465,1424.471012,1389.352946,1453.105686,1623.153945,697.471319,818.1070904,787.6999041,981.7510794,1036.534725,915.7857123,213.3417333,262.051797,243.522208,355.2644197,415.21729,332.2102629,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000000134,ENSG00000068323
Axin2,-1.976880526,0.326711381,-2.279812408,-1.158731589,-0.916939821,590.8131051,795.3279282,40.69542399,57.80724028,97.34815464,44.06489557,321.4809284,82.51835893,1300.163341,1224.343934,1914.717771,1528.071677,343.4727792,315.222269,267.3814419,302.4910207,2179.975291,1987.083386,1605.776533,812.8852354,607.1951569,1165.207024,1020.626852,1141.116462,957.6187309,521.7536497,650.0606174,479.6408529,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000000142,ENSG00000168646
Slfn4,#N/A,#N/A,12.92505927,4.04731456,5.766341558,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,1295.080582,911.1219009,1028.29405,1444.233724,1.00645212,2.644742749,3.14241983,34.93776083,45.89821658,31.64300225,3.413467732,3.176385418,2.352871575,230.725232,89.29404085,176.9167081,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,ENSMUSG00000000204,#N/A
Mid2,0.112046185,0.976257553,-0.539852094,-0.60887088,-0.899934802,240.4817161,497.0799551,74.60827732,232.605324,462.7781505,418.616508,257.1081084,92.22640115,488.5274859,564.6119213,753.8430331,676.912946,338.7676726,450.1633088,433.5577585,486.5600248,578.7099688,444.3167819,494.4073866,302.7939272,317.4626647,373.2012913,632.3448974,661.4822634,558.806999,338.2222151,298.2420964,357.7648985,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000000266,ENSG00000080561
Dgke,-1.014001128,0.567009573,-1.412137811,-0.639762014,-0.549189005,540.3416338,805.8296174,364.9023018,253.2507669,274.8213289,110.1622389,471.3010035,302.5673161,579.7398962,525.3421586,569.5541684,536.4215798,202.3195823,198.6332106,232.3969541,198.2281583,681.368085,538.6459399,552.0184168,376.163225,358.5798171,402.0522639,681.8401795,762.3325004,735.2723671,460.1395252,528.6207218,499.298265,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000000276,ENSG00000153933
Itgb2,3.116786735,0.19960884,1.975654295,2.220023198,3.333826144,17.81346045,2.100337839,0,6.881814319,88.36217113,11.75063882,26.05566523,150.4746545,102.0342217,188.4948609,127.6962212,132.2808318,457.5716134,669.3075575,488.5333821,545.7710331,103.6645683,196.5925444,174.9280372,917.6985179,574.6839202,724.9970222,54.61548371,97.67385161,65.88040409,658.0912868,744.7123007,806.9367628,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,ENSMUSG00000000290,ENSG00000160255
Mcts1,-0.032342013,0.992317092,-0.320095253,0.563306965,0.990202233,1045.056347,1853.898199,4416.810017,3011.481946,2170.115016,2720.272887,1933.483629,2087.229079,479.2516475,405.7875478,388.8930373,448.8425464,348.1778858,329.2561372,339.8493093,362.9892249,259.6646469,309.4349017,249.2986399,335.402504,480.0188485,393.6761751,179.2070559,192.1713178,150.5837808,443.0973206,291.9915136,306.6556273,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000000355,ENSG00000232119
Tbrg4,0.572634156,0.841261126,1.009130511,0.781734764,1.43978701,809.0279956,577.5929056,941.4208084,623.4923773,956.2584113,795.3713651,472.8336897,2923.738717,258.1775005,228.637285,268.4522832,228.0703996,465.8055499,472.8334035,502.277288,541.9094456,265.7033596,282.9874742,261.8683192,570.6500936,423.6022906,402.0522639,104.1107658,86.55650265,69.40971145,259.565886,215.1986384,234.9060735,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000000384,ENSG00000136270
Lck,8.269915458,0.00023902,4.184390912,1.461499401,4.624621189,0,0,0,13.76362864,126.552601,107.9589942,8.429774047,61.48426744,13.14077098,13.96258229,12.33429409,14.59650557,204.6721356,163.0087761,374.833797,238.1312291,9.058069077,15.8684565,7.332312937,31.44398475,31.5550239,26.98961957,5.120201598,3.970481773,0,65.54694091,65.18464982,110.0815072,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,ENSMUSG00000000409,ENSG00000182866
Itga5,1.854030886,0.49971613,1.509301874,1.510769298,1.20704226,2902.109599,1037.566892,184.4859221,6340.903714,6198.082122,8254.823771,4030.581509,22.65209853,1058.991544,1139.695779,1155.070364,1301.825841,3008.915648,2847.795704,3668.373427,3727.719132,1157.419938,1231.56854,1470.652481,3761.63225,4391.885599,2844.147497,586.263083,690.0697321,438.8105487,1388.284209,1323.337685,1256.108627,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000000555,ENSG00000161638
